Sno,Date,State_Union_Territories,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Total Cases
291,22/03/20,Uttar Pradesh,26,1,9,0,27
292,22/03/20,Uttarakhand,3,0,0,0,3
293,22/03/20,West Bengal,4,0,0,0,4
294,23/03/20,Andhra Pradesh,7,0,0,0,7
295,23/03/20,Bihar,2,0,0,1,2
296,23/03/20,Chhattisgarh,1,0,0,0,1
297,23/03/20,Delhi,28,1,5,1,29
298,23/03/20,Gujarat,29,0,0,1,29
299,23/03/20,Haryana,12,14,0,0,26
300,23/03/20,Himachal Pradesh,2,0,0,0,2
301,23/03/20,Karnataka,33,0,2,1,33
302,23/03/20,Kerala,60,7,3,0,67
303,23/03/20,Madhya Pradesh,6,0,0,0,6
304,23/03/20,Maharashtra,71,3,0,2,74
305,23/03/20,Odisha,2,0,0,0,2
306,23/03/20,Puducherry,1,0,0,0,1
307,23/03/20,Punjab,21,0,0,1,21
308,23/03/20,Rajasthan,26,2,3,0,28
309,23/03/20,Tamil Nadu,7,2,1,0,9
310,23/03/20,Telengana,22,10,1,0,32
311,23/03/20,Chandigarh,6,0,0,0,6
312,23/03/20,Jammu and Kashmir,4,0,0,0,4
313,23/03/20,Ladakh,13,0,0,0,13
314,23/03/20,Uttar Pradesh,30,1,9,0,31
315,23/03/20,Uttarakhand,3,0,0,0,3
316,23/03/20,West Bengal,7,0,0,0,7
317,24/03/20,Andhra Pradesh,7,0,0,0,7
318,24/03/20,Bihar,2,0,0,1,2
319,24/03/20,Chhattisgarh,1,0,0,0,1
320,24/03/20,Delhi,30,1,6,1,31
321,24/03/20,Gujarat,29,0,0,1,29
322,24/03/20,Haryana,12,14,11,0,26
323,24/03/20,Himachal Pradesh,3,0,0,1,3
324,24/03/20,Karnataka,37,0,2,1,37
325,24/03/20,Kerala,87,8,4,0,95
326,24/03/20,Madhya Pradesh,7,0,0,0,7
327,24/03/20,Maharashtra,84,3,0,2,87
328,24/03/20,Odisha,2,0,0,0,2
329,24/03/20,Puducherry,1,0,0,0,1
330,24/03/20,Punjab,21,0,0,1,21
331,24/03/20,Rajasthan,31,2,3,0,33
332,24/03/20,Tamil Nadu,10,2,1,0,12
333,24/03/20,Telengana,22,10,1,0,32
334,24/03/20,Chandigarh,6,0,0,0,6
335,24/03/20,Jammu and Kashmir,4,0,0,0,4
336,24/03/20,Ladakh,13,0,0,0,13
337,24/03/20,Uttar Pradesh,32,1,9,0,33
338,24/03/20,Uttarakhand,3,0,0,0,3
339,24/03/20,West Bengal,7,0,0,1,7
